submercado,nombre,actividad,estado,inicio_operacion
ETSG,EMPRESA GENERADORA DE ENERGIA DEL TOLIMA S.A. E.S.P.,GENERACIÓN,INACTIVO,2003-08-05
ETSC,EMPRESA GENERADORA DE ENERGIA DEL TOLIMA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2003-08-05
EMSG,ELECTRIFICADORA DEL META S.A. E.S.P.,GENERACIÓN,OPERACION,2003-06-11
TMFC,TERMOFLORES S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2003-04-16
ASCC,A.S.C. INGENIERIA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2003-03-14
IRIG,INGENIO RISARALDA S.A.,GENERACIÓN,INACTIVO,2003-02-28
MCAG,EMPRESA MULTIPROPOSITO DE CALARCA S.A. E.S.P.,GENERACIÓN,OPERACION,2003-01-03
ADGG,ANDINA DE GENERACION S.A. E.S.P.,GENERACIÓN,INACTIVO,2002-11-15
ADGC,ANDINA DE GENERACION S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2002-11-15
CALC,EMPRESAS PUBLICAS DE CALARCA E.S.P.,COMERCIALIZACIÓN,INACTIVO,2002-11-09
ESRC,ENERGIA Y SERVICIOS S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2002-10-11
PRIC,PROELECTRICA S.A.S E.S.P.,COMERCIALIZACIÓN,OPERACION,2002-10-09
PRID,PROELECTRICA & CIA. S.C.A. E.S.P,DISTRIBUCIÓN,INACTIVO,2002-10-09
EGVC,EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2002-08-31
EGVD,EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE S.A. E.S.P.,DISTRIBUCIÓN,OPERACION,2002-08-31
CEGC,COMERCIALIZADORA DE ENERGIA Y GAS COMBUSTIBLE S.A. E.S.P.  (LIQUIDACIÓN),COMERCIALIZACIÓN,INACTIVO,2002-08-06
EDPC,EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2002-07-26
EDPD,EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P.,DISTRIBUCIÓN,OPERACION,2002-07-26
GLCG,GAS Y ELECTRICIDAD S.A. E.S.P. GELECSA E.S.P.,GENERACIÓN,INACTIVO,2002-06-18
CDIC,CENTRALES ELECTRICAS DEL CAUCA S.A. E.S.P.  (INTERVENIDA),COMERCIALIZACIÓN,OPERACION,2002-06-01
CDID,CENTRALES ELECTRICAS DEL CAUCA S.A. E.S.P.  (INTERVENIDA),DISTRIBUCIÓN,OPERACION,2002-06-01
CDIG,CENTRALES ELECTRICAS DEL CAUCA S.A. E.S.P.  (INTERVENIDA),GENERACIÓN,OPERACION,2002-06-01
EPAG,EMPRESAS PUBLICAS DE ARMENIA E.S.P.,GENERACIÓN,INACTIVO,2002-03-08
EPAC,EMPRESAS PUBLICAS DE ARMENIA E.S.P.,COMERCIALIZACIÓN,INACTIVO,2002-03-08
TSCG,BP EXPLORATION COMPANY COLOMBIA LIMITED,GENERACIÓN,INACTIVO,2002-02-22
TSCC,BP EXPLORATION COMPANY COLOMBIA LIMITED,COMERCIALIZACIÓN,INACTIVO,2002-02-22
EEGC,EMPRESA DE ENERGIA VALLE DEL GUAMUEZ S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2002-02-19
TRIG,TERMOCARTAGENA S.A. E.S.P.  (REESTRUCTURADO),GENERACIÓN,OPERACION,2002-01-25
TLIC,ELECTRIFICADORA DEL TOLIMA S.A. E.S.P.  (INTERVENIDA),COMERCIALIZACIÓN,INACTIVO,2002-01-18
TLID,ELECTRIFICADORA DEL TOLIMA S.A. E.S.P.  (INTERVENIDA),DISTRIBUCIÓN,INACTIVO,2002-01-18
TLIG,ELECTRIFICADORA DEL TOLIMA S.A. E.S.P.  (INTERVENIDA),GENERACIÓN,INACTIVO,2002-01-18
GENG,GENELEC S.A. E.S.P.,GENERACIÓN,INACTIVO,2001-12-11
GENC,GENELEC S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2001-12-11
NRCG,ENERCO S.A. E.S.P.,GENERACIÓN,OPERACION,2001-11-14
ERGG,ENERGIA E INGENIERIA ENERGING S.A. E.S.P.,GENERACIÓN,INACTIVO,2001-08-10
EYFC,ENERGIA Y FINANZAS S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2001-08-09
EYFG,ENERGIA Y FINANZAS S.A. E.S.P.,GENERACIÓN,INACTIVO,2001-08-09
TREC,TRANSACCIONES DE ENERGIA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2001-05-30
CALG,EMPRESAS PUBLICAS DE CALARCA E.S.P.,GENERACIÓN,INACTIVO,2001-05-12
ECOC,ENERGIA DE COLOMBIA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2000-12-22
CELC,COMERCIALIZADORA DE ELECTRICIDAD DEL CHOCO S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2000-12-04
EMED,EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.,DISTRIBUCIÓN,OPERACION,2000-10-07
EVSD,EMPRESA DE ENERGIA DEL VALLE DE SIBUNDOY S.A.,DISTRIBUCIÓN,OPERACION,2000-10-06
RTQD,RUITOQUE E.S.P.,DISTRIBUCIÓN,OPERACION,2000-10-06
EPCD,EMPRESAS PUBLICAS DE CARTAGO,DISTRIBUCIÓN,INACTIVO,2000-10-06
RIOC,ENERGIA DEL RIO GRANDE S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2000-07-11
NRCC,ENERCO S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2000-07-08
CSEC,CONSORCIO ENERGETICO S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2000-06-13
EBPD,EMPRESA DE ENERGIA DEL BAJO PUTUMAYO S.A. E.S.P.,DISTRIBUCIÓN,OPERACION,2000-06-06
CCIC,EMPRESAS PUBLICAS DE CAUCASIA E.S.P.  (INTERVENIDO),COMERCIALIZACIÓN,INACTIVO,2000-05-27
CCID,EMPRESAS PUBLICAS  DE CAUCASIA S.A. E.S.P.R(INTERVENIDA),DISTRIBUCIÓN,INACTIVO,2000-05-27
PSPC,EMPRESAS PUBLICAS DE SAN PEDRO E.S.P.,COMERCIALIZACIÓN,INACTIVO,2000-05-18
COEC,COMPAÑIA COMERCIALIZADORA DE ENERGIA DEL CAUCA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2000-05-11
EMIC,EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.,COMERCIALIZACIÓN,OPERACION,2000-04-05
EMID,EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.,DISTRIBUCIÓN,OPERACION,2000-04-05
EMIG,EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.,GENERACIÓN,OPERACION,2000-04-05
NRSC,COMERCIALIZADORA DE ENERGIA Y SERVICIOS PUBLICOS S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2000-02-08
ECPC,ENRON COLOMBIA POWER MARKETING & CIA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2000-02-08
ECPG,ENRON COLOMBIA POWER MARKETING & CIA S.A. E.S.P.,GENERACIÓN,INACTIVO,2000-02-08
RTQC,RUITOQUE E.S.P.,COMERCIALIZACIÓN,OPERACION,2000-01-25
TEBC,TURBOMACH ENERGIA BIOFILM S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2000-01-01
EBPC,EMPRESA DE ENERGIA DEL BAJO PUTUMAYO S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,1999-11-06
ENPC,ENERGIA Y ALUMBRADO DE PEREIRA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,1999-09-30
ENPG,ENERGIA Y ALUMBRADO DE PEREIRA S.A. E.S.P.,GENERACIÓN,INACTIVO,1999-09-30
EMEC,EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,1999-09-22
EMEG,EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.,GENERACIÓN,OPERACION,1999-09-22
CMRC,COMERCIALIZAR S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1999-09-16
ERGC,ENERGIA E INGENIERIA ENERGING S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1999-07-26
TRPC,TERMOPIEDRAS S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,1999-07-14
TRPG,TERMOPIEDRAS S.A. E.S.P.,GENERACIÓN,OPERACION,1999-07-14
GCEC,GENERADORA COLOMBIANA DE ELECTRICIDAD S.C.A.  E.S.P.,COMERCIALIZACIÓN,INACTIVO,1999-07-01
TCDC,TERMOCANDELARIA S.C.A.  E.S.P.,COMERCIALIZACIÓN,INACTIVO,1999-06-03
TMCG,TERMOCAUCA S.A.  E.S.P.,GENERACIÓN,INACTIVO,1999-05-25
TMCC,TERMOCAUCA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1999-05-25
ELRC,ENERGIA Y ALUMBRADO S.A.  E.S.P.,COMERCIALIZACIÓN,INACTIVO,1999-04-19
GNRG,GENERAR S.A. E.S.P.,GENERACIÓN,INACTIVO,1999-04-01
ENEC,ENERGEN S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1999-02-26
CECC,COMERCIALIZADORA DE ENERGIA DE LA COSTA ATLANTICA,COMERCIALIZACIÓN,INACTIVO,1998-12-22
DLRC,DICELER S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,1998-12-12
ICEC,INVERSIONES Y COMERCIALIZADORA DE ENERGIA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1998-12-02
TRST,TRANSELCA S.A. E.S.P,TRANSPORTE,OPERACION,1998-09-01
BIOG,BIOAISE S.A.,GENERACIÓN,INACTIVO,1998-07-29
ECAC,ELECTRIFICADORA DE LA COSTA ATLANTICA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1998-07-24
ECAD,ELECTRIFICADORA DE LA COSTA ATLANTICA S.A. E.S.P.,DISTRIBUCIÓN,INACTIVO,1998-07-24
EDCD,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,DISTRIBUCIÓN,INACTIVO,1998-07-24
EDCC,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1998-07-24
CEAC,COMERCIALIZADORA DE ENERGIA Y AGUA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1998-07-18
ENCC,ENERGIA CONFIABLE S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1998-01-23
ENMC,ENERMUNDO S.A. E.S.P,COMERCIALIZACIÓN,INACTIVO,1997-12-29
ROEC,R.O.A. ELECTRIC LTDA.,COMERCIALIZACIÓN,INACTIVO,1997-12-29
PECC,PROYECTOS ENERGETICOS DEL CAUCA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,1997-12-26
PECG,PROYECTOS ENERGETICOS DEL CAUCA S.A. E.S.P.,GENERACIÓN,OPERACION,1997-12-26
EVSC,EMPRESA DE ENERGIA DEL VALLE DE SIBUNDOY S.A.,COMERCIALIZACIÓN,OPERACION,1997-12-26
TRDC,TERMOELECTRICA DE LA DORADA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1997-11-24
EGCC,EMPRESA DE GENERACION DE CALI S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1997-11-20
EGCG,EMPRESA DE GENERACION DE CALI S.A. E.S.P.,GENERACIÓN,INACTIVO,1997-11-20
ECEC,EMPRESA COLOMBIANA DE ENERGIA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1997-11-05
CDSC,CODENSA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,1997-10-24
CDSD,CODENSA S.A. E.S.P.,DISTRIBUCIÓN,OPERACION,1997-10-24
EEPC,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,1997-09-16
TMVC,TERMOVALLE S.C.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1997-09-03
CAEC,COMERCIALIZADORA  ANDINA DE ENERGIA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1997-09-01
EPTC,EMPRESA DE ENERGIA DEL PUTUMAYO S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,1997-08-21
EPTD,EMPRESA DE ENERGIA DEL PUTUMAYO S.A. E.S.P.,DISTRIBUCIÓN,OPERACION,1997-08-21
CMEC,COMPAÑIA NACIONAL DE ENERGIA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1997-08-06
CMED,COMPAÑIA NACIONAL DE ENERGIA S.A. E.S.P.,DISTRIBUCIÓN,INACTIVO,1997-08-06
CMEG,COMPAÑIA NACIONAL DE ENERGIA S.A. E.S.P.,GENERACIÓN,INACTIVO,1997-08-06
MPBC,MOTO PLANTAS BRISTOL LTDA.,COMERCIALIZACIÓN,INACTIVO,1997-08-04
MPBG,MOTO PLANTAS BRISTOL LTDA.,GENERACIÓN,INACTIVO,1997-08-04
NRGD,ENERGIZAR DE OCCIDENTE S.A. E.S.P.,DISTRIBUCIÓN,INACTIVO,1997-08-01
CESC,COMERCIALIZADORA ELECTRICA DEL SINU S.A.,COMERCIALIZACIÓN,INACTIVO,1997-07-24
TGCC,TERMOGRAFIA DE LA COSTA LTDA,COMERCIALIZACIÓN,INACTIVO,1997-07-15
TGCD,TERMOGRAFIA DE LA COSTA LTDA,DISTRIBUCIÓN,INACTIVO,1997-07-15
ELEG,ELECTROENERGIA S.A.,GENERACIÓN,INACTIVO,1997-07-03
DCLC,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,1997-06-24
DCLD,DISTRIBUIDORA Y COMERCIALIZADORA  DE ENERGIA ELECTRICA S.A. E.S.P.,DISTRIBUCIÓN,INACTIVO,1997-06-24
ENGC,ENERGETICA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1997-06-20
NRGC,ENERGIZAR DE OCCIDENTE S.A.,COMERCIALIZACIÓN,INACTIVO,1997-06-01
EMUG,EMPRESA URRA S.A. E.S.P.,GENERACIÓN,OPERACION,1997-05-15
FLSC,FLORES II S.A. & CIA. S.C.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1997-05-06
REAC,REINGENIERIA ENERGETICA ASOCIADOS LTDA.,COMERCIALIZACIÓN,INACTIVO,1997-05-02
DIST,DISTASA S.A. E.S.P.,TRANSPORTE,OPERACION,1997-05-01
ENRC,ENERGIA COMPETITIVA S.A. E.S.P,COMERCIALIZACIÓN,INACTIVO,1997-04-21
ELEC,ELECTROENERGIA S.A.,COMERCIALIZACIÓN,INACTIVO,1997-04-15
EEOC,EMPRESA ELECTRICA DEL ORIENTE S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1997-02-25
TRMG,TERMOTASAJERO S.A. E.S.P.,GENERACIÓN,OPERACION,1997-02-21
TRMC,TERMOTASAJERO S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1997-02-21
ECCC,ENERSIS ENERGIA DE COLOMBIA S.A. E.S.P.  (LIQUIDACIÓN),COMERCIALIZACIÓN,INACTIVO,1997-02-01
EMCG,EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.,GENERACIÓN,INACTIVO,1997-01-30
CHVC,AES CHIVOR & CIA. S.C.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,1996-12-27
CHVG,AES CHIVOR & CIA. S.C.A. E.S.P.,GENERACIÓN,OPERACION,1996-12-27
CNST,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. E.S.P.,TRANSPORTE,OPERACION,1996-12-01
EEPD,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,DISTRIBUCIÓN,OPERACION,1996-12-01
EMUC,EMPRESA URRA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1996-12-01
ECLD,EMPRESA DE ENERGIA DE CALI S.A. E.S.P.,DISTRIBUCIÓN,INACTIVO,1996-12-01
CMPD,MUNICIPIO DE CAMPAMENTO,DISTRIBUCIÓN,INACTIVO,1996-11-12
FRSC,FLORES III S.A. & CIA. S.C.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1996-09-26
EMCD,EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.,DISTRIBUCIÓN,INACTIVO,1996-09-10
MRLG,MERILECTRICA S.A. & CIA S.C.A. E.S.P.,GENERACIÓN,INACTIVO,1996-08-13
MRLC,MERILECTRICA S.A. & CIA S.C.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1996-08-13
ICAC,I.C. ASESORIAS Y PROYECTOS LTDA.,COMERCIALIZACIÓN,INACTIVO,1996-08-08
EMGC,EMGESA S.A. E.S.P.  (FINALIZADO),COMERCIALIZACIÓN,INACTIVO,1996-08-01
SMRC,SOCIEDAD MARIÑO VILLEGAS S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1996-07-23
CEFC,COMERCIALIZADORA  DE ENERGIA LAS FLORES S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1996-07-06
GNUC,GENERADORA UNION S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1996-05-28
HVAC,HV ASOCIADOS S.A.,COMERCIALIZACIÓN,INACTIVO,1996-04-29
FLSG,FLORES II S.A. & CIA S.C.A. E.S.P.,GENERACIÓN,INACTIVO,1996-04-02
FRSG,FLORES III S.A. & CIA. S.C.A. E.S.P.,GENERACIÓN,INACTIVO,1996-04-02
FLRC,FIDEICOMISO FIDUGAN FLORES II,COMERCIALIZACIÓN,INACTIVO,1996-04-02
FLRG,FIDEICOMISO FIDUGAN FLORES II,GENERACIÓN,INACTIVO,1996-04-02
CNED,CONSORCIO NACIONAL DE ENERGIA S.A. E.S.P.,DISTRIBUCIÓN,INACTIVO,1996-02-14
CNEC,CONSORCIO NACIONAL DE ENERGIA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1996-02-14
ENTC,MUNICIPIO DE ENTRERRIOS - ANTIOQUIA,COMERCIALIZACIÓN,INACTIVO,1996-02-01
ENTD,MUNICIPIO DE ENTRERRIOS - ANTIOQUIA,DISTRIBUCIÓN,INACTIVO,1996-02-01
CCSC,EMPRESAS PUBLICAS DE CAUCASIA E.S.P.,COMERCIALIZACIÓN,INACTIVO,1996-01-10
CCSD,EMPRESAS PUBLICAS DE CAUCASIA E.S.P.,DISTRIBUCIÓN,INACTIVO,1996-01-01
SNPC,MUNICIPIO DE SAN PEDRO DE LOS MILAGROS (ANT)  (ANT) - COMERCIALIZADOR,COMERCIALIZACIÓN,INACTIVO,1996-01-01
SNPD,MUNICIPIO DE SAN PEDRO DE LOS MILAGROS (ANT)  (ANT) - DISTRIBUIDOR,DISTRIBUCIÓN,INACTIVO,1996-01-01
YRMC,EMPRESAS PUBLICAS DE YARUMAL E.S.P.,COMERCIALIZACIÓN,INACTIVO,1996-01-01
YRMD,EMPRESAS PUBLICAS DE YARUMAL E.S.P.,DISTRIBUCIÓN,INACTIVO,1996-01-01
CRLT,CORPORACION ELECTRICA DE LA COSTA ATLANTICA S.A. E.S.P. TRANSPORTADOR,TRANSPORTE,INACTIVO,1995-09-01
ASTA,SISTEMA DE TRANSMISION NACIONAL,DISTRIBUCIÓN,OPERACION,1995-07-20
ESSC,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,1995-07-20
ASTN,SISTEMA DE TRANSMISION NACIONAL,TRANSPORTE,OPERACION,1995-07-20
EDQC,EMPRESA DE ENERGIA DEL QUINDIO S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,1995-07-20
EDQD,EMPRESA DE ENERGIA DEL QUINDIO S.A. E.S.P.,DISTRIBUCIÓN,OPERACION,1995-07-20
ESST,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,TRANSPORTE,OPERACION,1995-07-20
CETC,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,1995-07-20
CETD,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,DISTRIBUCIÓN,OPERACION,1995-07-20
CETG,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,GENERACIÓN,OPERACION,1995-07-20
EMSD,ELECTRIFICADORA DEL META S.A. E.S.P.,DISTRIBUCIÓN,OPERACION,1995-07-20
EBSC,EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,1995-07-20
EBSD,EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P.,DISTRIBUCIÓN,OPERACION,1995-07-20
EBSG,EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P.,GENERACIÓN,OPERACION,1995-07-20
CDNC,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,1995-07-20
CDND,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,DISTRIBUCIÓN,OPERACION,1995-07-20
CDNG,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,GENERACIÓN,OPERACION,1995-07-20
CNSC,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,1995-07-20
CNSD,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. E.S.P.,DISTRIBUCIÓN,OPERACION,1995-07-20
ISAT,INTERCONEXION ELECTRICA S.A. E.S.P.,TRANSPORTE,OPERACION,1995-07-20
CHCC,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,1995-07-20
CHCD,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,DISTRIBUCIÓN,OPERACION,1995-07-20
ESSD,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,DISTRIBUCIÓN,OPERACION,1995-07-20
CQTC,ELECTRIFICADORA DEL CAQUETA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,1995-07-20
CQTD,ELECTRIFICADORA DEL CAQUETA S.A. E.S.P.,DISTRIBUCIÓN,OPERACION,1995-07-20
HLAC,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,1995-07-20
HLAG,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,GENERACIÓN,OPERACION,1995-07-20
HLAD,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,DISTRIBUCIÓN,OPERACION,1995-07-20
EMSC,ELECTRIFICADORA DEL META S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,1995-07-20
EEPG,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,GENERACIÓN,OPERACION,1995-07-20
TBSG,TERMOBARRANQUILLA S.A. E.S.P.,GENERACIÓN,OPERACION,1995-07-20
ISGC,ISAGEN S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,1995-07-20
ISGG,ISAGEN S.A. E.S.P.,GENERACIÓN,OPERACION,1995-07-20
EBST,EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P.,TRANSPORTE,OPERACION,1995-07-20
EPMG,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,GENERACIÓN,OPERACION,1995-07-20
EPMC,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,COMERCIALIZACIÓN,OPERACION,1995-07-20
EPMD,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,DISTRIBUCIÓN,OPERACION,1995-07-20
VGT,VARIANTE GUATAPE,TRANSPORTE,OPERACION,1995-07-20
ESSG,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,GENERACIÓN,INACTIVO,1995-07-20
CHCG,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,GENERACIÓN,INACTIVO,1995-07-20
EECC,EMPRESA DE ENERGIA DE CUNDINAMARCA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1995-07-20
EECD,EMPRESA DE ENERGIA DE CUNDINAMARCA S.A. E.S.P.,DISTRIBUCIÓN,INACTIVO,1995-07-20
EECG,EMPRESA DE ENERGIA DE CUNDINAMARCA S.A. E.S.P.,GENERACIÓN,INACTIVO,1995-07-20
EPPC,EMPRESAS PUBLICAS DE PEREIRA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1995-07-20
CTGC,EMPRESAS MUNICIPALES DE CARTAGO S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1995-07-20
CTGD,EMPRESAS MUNICIPALES DE CARTAGO S.A. E.S.P.,DISTRIBUCIÓN,INACTIVO,1995-07-20
CHBC,CENTRAL HIDROELECTRICA DE BETANIA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1995-07-20
CHBD,CENTRAL HIDROELECTRICA DE BETANIA S.A. E.S.P.,DISTRIBUCIÓN,INACTIVO,1995-07-20
CHBG,CENTRAL HIDROELECTRICA DE BETANIA S.A. E.S.P.,GENERACIÓN,INACTIVO,1995-07-20
EDQG,EMPRESA DE ENERGIA DEL QUINDIO S.A. E.S.P.,GENERACIÓN,INACTIVO,1995-07-20
EEBG,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,GENERACIÓN,INACTIVO,1995-07-20
CHDC,CHIDRAL S.A - E.S.P,COMERCIALIZACIÓN,INACTIVO,1995-07-20
CRLG,CORPORACION ELECTRICA DE LA COSTA ATLANTICA S.A. E.S.P.,GENERACIÓN,INACTIVO,1995-07-20
BLVC,ELECTRIFICADORA DE BOLIVAR S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1995-07-20
BLVD,ELECTRIFICADORA DE BOLIVAR S.A. E.S.P.,DISTRIBUCIÓN,INACTIVO,1995-07-20
BLVG,ELECTRIFICADORA DE BOLIVAR S.A. E.S.P.,GENERACIÓN,INACTIVO,1995-07-20
CRDC,ELECTRIFICADORA DE CORDOBA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1995-07-20
CRDD,ELECTRIFICADORA DE CORDOBA S.A. E.S.P.,DISTRIBUCIÓN,INACTIVO,1995-07-20
CRDG,ELECTRIFICADORA DE CORDOBA S.A. E.S.P.,GENERACIÓN,INACTIVO,1995-07-20
CRLC,CORPORACION ELECTRICA DE LA COSTA ATLANTICA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1995-07-20
TLMC,ELECTRIFICADORA DEL TOLIMA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1995-07-20
EEBC,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1995-07-20
CNSG,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. E.S.P.,GENERACIÓN,INACTIVO,1995-07-20
CHDG,CENTRAL HIDROELECTRICA DEL RIO ANCHICAYA S.A. E.S.P.,GENERACIÓN,INACTIVO,1995-07-20
EPPD,EMPRESAS PUBLICAS DE PEREIRA S.A. E.S.P.,DISTRIBUCIÓN,INACTIVO,1995-07-20
ECLC,EMPRESA DE ENERGIA DE CALI S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1995-07-20
MGGD,EMPRESA DE ENERGIA ELECTRICA DE MAGANGUE S.A. E.S.P.  (LIQUIDACION),DISTRIBUCIÓN,INACTIVO,1995-07-20
